,batter_name,hho,hho/bbe,hho/pa,hho/ab,hho/hh
89, Manny Machado,134,28.32980972515856,20.9375,23.75886524822695,54.25101214574899
141, Vladimir Guerrero Jr.,127,25.60483870967742,18.19484240687679,21.026490066225165,46.35036496350365
45, Matt Olson,125,26.997840172786177,18.573551263001487,22.123893805309734,55.309734513274336
189, DJ LeMahieu,125,24.606299212598426,18.409425625920473,20.938023450586265,56.81818181818182
58, Salvador Perez,121,26.651982378854626,18.195488721804512,19.516129032258064,47.45098039215686
120, Paul Goldschmidt,118,25.0,17.378497790868924,19.5364238410596,49.37238493723849
140, Bo Bichette,115,22.682445759368836,16.666666666666664,17.96875,47.71784232365145
54, Carlos Santana,114,24.358974358974358,17.298937784522003,20.141342756183743,58.16326530612245
155, Rafael Devers,112,24.778761061946902,16.867469879518072,18.95093062605753,47.863247863247864
99, Aaron Judge,112,28.211586901763226,17.69352290679305,20.363636363636363,48.69565217391305
